Reporting_Period,County,Facility_Name,    Number_of_Incarcerated_in_the_Facility    ,Total_Number_Tested,Total_Confirmed_Positive,Confirmed_at_Intake_(Optional),Confirmed_in_First_14 Days_(Optional),Confirmed_In_Custody_(Optional),Hospitalized,Estimated_Resolved,Deaths,Additional_Information_(Optional),Staff_Tested,Staff_Confirmed_Positive,Staff_Resolved,Additional_County_Information
03/06/21,Mariposa,Mariposa County Adult Detention Facility,35,<11,0,0,0,0,0,0,0,,,,,
03/13/21,Mariposa,Mariposa County Adult Detention Facility,30,<11,0,0,0,0,0,0,0,,,,,
03/20/21,Mariposa,Mariposa County Adult Detention Facility,30,<11,0,0,0,0,0,0,0,,,,,
04/03/21,Mariposa,Mariposa County Adult Detention Facility,35,<11,0,0,0,0,0,0,0,,,,,
04/10/21,Mariposa,Mariposa County Adult Detention Facility,38,<11,0,0,0,0,0,0,0,,,,,
04/17/21,Mariposa,Mariposa County Adult Detention Facility,39,<11,0,0,0,0,0,0,0,,,,,
05/01/21,Mariposa,Mariposa County Adult Detention Facility,39,<11,0,0,0,0,0,0,0,,,,,
05/08/21,Mariposa,Mariposa County Adult Detention Facility,44,11,0,,,,0,0,0,,,,,
05/15/21,Mariposa,Mariposa County Adult Detention Facility,40,<11,0,,,,0,0,0,,,,,
05/22/21,Mariposa,Mariposa County Adult Detention Facility,41,<11,0,,,,0,0,0,,,,,
05/29/21,Mariposa,Mariposa County Adult Detention Facility,33,<11,0,,,,0,0,0,,,,,
06/05/21,Mariposa,Mariposa County Adult Detention Facility,35,<11,0,,,,0,0,0,,,,,
06/12/21,Mariposa,Mariposa County Adult Detention Facility,37,<11,0,,,,0,0,0,,,,,
06/19/21,Mariposa,Mariposa County Adult Detention Facility,36,18,0,,,,0,0,0,,,,,
06/26/21,Mariposa,Mariposa County Adult Detention Facility,37,<11,0,,,,0,0,0,,,,,
07/03/21,Mariposa,Mariposa County Adult Detention Facility,36,<11,0,0,,,0,0,0,,,,,
07/10/21,Mariposa,Mariposa County Adult Detention Facility,35,13,0,,,,0,0,0,,,,,
07/17/21,Mariposa,Mariposa County Adult Detention Facility,34,11,0,,,,0,0,0,,,,,
07/24/21,Mariposa,Mariposa County Adult Detention Facility,30,<11,0,,,,0,0,0,,,,,
07/31/21,Mariposa,Mariposa County Adult Detention Facility,27,<11,0,,,,0,0,0,,,,,
08/07/21,Mariposa,Mariposa County Adult Detention Facility,27,<11,0,,,,0,0,0,,,,,
08/14/21,Mariposa,Mariposa County Adult Detention Facility,30,<11,0,0,0,0,0,0,0,,,,,
08/21/21,Mariposa,Mariposa County Adult Detention Facility,28,<11,<11,<11,,<11,0,0,0,,,,,
08/28/21,Mariposa,Mariposa County Adult Detention Facility,28,<11,<11,,,,0,<11,0,,,,,
09/04/21,Mariposa,Mariposa County Adult Detention Facility,31,<11,<11,0,0,<11,0,0,0,,,,,
09/11/21,Mariposa,Mariposa County Adult Detention Facility,27,<11,<11,,,,0,0,0,,,,,
09/18/21,Mariposa,Mariposa County Adult Detention Facility,28,<11,<11,,,,0,0,<11,,,,,
09/25/21,Mariposa,Mariposa County Adult Detention Facility,24,<11,0,0,0,0,0,0,0,,,,,
10/02/21,Mariposa,Mariposa County Adult Detention Facility,23,15,<11,,,,0,0,0,,,,,
10/09/21,Mariposa,Mariposa County Adult Detention Facility,19,<11,0,0,0,0,0,0,0,,,,,
10/16/21,Mariposa,Mariposa County Adult Detention Facility,19,0,0,0,0,0,0,0,0,,,,,
10/23/21,Mariposa,Mariposa County Adult Detention Facility,26,<11,0,0,,,0,0,0,,,,,
10/30/21,Mariposa,Mariposa County Adult Detention Facility,22,<11,0,0,0,0,0,0,0,,,,,
11/06/21,Mariposa,Mariposa County Adult Detention Facility,26,<11,0,0,0,0,0,0,0,,,,,
11/13/21,Mariposa,Mariposa County Adult Detention Facility,29,<11,0,0,0,0,0,0,0,,,,,
11/20/21,Mariposa,Mariposa County Adult Detention Facility,29,<11,0,0,0,0,0,0,0,,,,,
11/27/21,Mariposa,Mariposa County Adult Detention Facility,27,<11,0,0,0,0,0,0,0,,,,,
12/04/21,Mariposa,Mariposa County Adult Detention Facility,26,<11,0,0,0,0,0,0,0,,,,,
12/11/21,Mariposa,Mariposa County Adult Detention Facility,26,<11,0,,,,0,0,0,,,,,
12/18/21,Mariposa,Mariposa County Adult Detention Facility,27,<11,0,0,0,0,0,0,0,,,,,
12/25/21,Mariposa,Mariposa County Adult Detention Facility,28,28,0,0,0,0,0,0,0,,,,,
01/01/22,Mariposa,Mariposa County Adult Detention Facility,30,30,0,0,0,0,0,0,0,,,,,
01/08/22,Mariposa,Mariposa County Adult Detention Facility,30,30,0,0,0,0,0,0,0,,,,,
01/15/22,Mariposa,Mariposa County Adult Detention Facility,31,31,0,0,0,0,0,0,0,,,,,
01/22/22,Mariposa,Mariposa County Adult Detention Facility,31,31,0,0,0,0,0,0,0,,,,,
01/29/22,Mariposa,Mariposa County Adult Detention Facility,34,34,0,0,0,0,0,0,0,,,,,
02/05/22,Mariposa,Mariposa County Adult Detention Facility,27,27,0,0,0,0,0,0,0,,,,,
02/12/22,Mariposa,Mariposa County Adult Detention Facility,27,0,0,0,0,0,0,0,0,,,,,
02/19/22,Mariposa,Mariposa County Adult Detention Facility,28,28,0,0,0,0,0,0,0,,,,,
02/26/22,Mariposa,Mariposa County Adult Detention Facility,29,29,0,0,0,0,0,0,0,,,,,
03/05/22,Mariposa,Mariposa County Adult Detention Facility,29,29,0,0,0,0,0,0,0,,,,,
03/12/22,Mariposa,Mariposa County Adult Detention Facility,29,29,0,0,0,0,0,0,0,,,,,
03/19/22,Mariposa,Mariposa County Adult Detention Facility,33,33,0,0,0,0,0,0,0,,,,,
03/26/22,Mariposa,Mariposa County Adult Detention Facility,31,31,0,0,0,0,0,0,0,,,,,
03/27/21,Mariposa,No Data Reported,,,,,,,,,,,,,,
04/24/21,Mariposa,No Data Reported,,,,,,,,,,,,,,
07/25/20,Mariposa,,,,,,,,,,,,0,0,0,
08/01/20,Mariposa,,,,,,,,,,,,0,0,0,
08/08/20,Mariposa,,,,,,,,,,,,0,0,0,
08/15/20,Mariposa,,,,,,,,,,,,0,0,0,
08/22/20,Mariposa,,,,,,,,,,,,<11,0,0,
08/29/20,Mariposa,,,,,,,,,,,,0,0,0,
09/05/20,Mariposa,,,,,,,,,,,,0,0,0,
09/12/20,Mariposa,,,,,,,,,,,,<11,0,0,
09/19/20,Mariposa,,,,,,,,,,,,<11,0,0,
09/26/20,Mariposa,,,,,,,,,,,,0,0,0,
10/03/20,Mariposa,,,,,,,,,,,,0,0,0,
10/10/20,Mariposa,,,,,,,,,,,,0,0,0,
10/17/20,Mariposa,,,,,,,,,,,,0,0,0,
10/24/20,Mariposa,,,,,,,,,,,,0,0,0,
10/31/20,Mariposa,,,,,,,,,,,,<11,0,0,
11/07/20,Mariposa,,,,,,,,,,,,<11,0,0,
11/14/20,Mariposa,,,,,,,,,,,,<11,0,0,
11/21/20,Mariposa,,,,,,,,,,,,0,0,0,
11/28/20,Mariposa,,,,,,,,,,,,<11,0,0,
12/05/20,Mariposa,,,,,,,,,,,,<11,0,0,
12/12/20,Mariposa,,,,,,,,,,,,0,0,0,
12/19/20,Mariposa,,,,,,,,,,,,<11,0,0,
12/26/20,Mariposa,,,,,,,,,,,,<11,<11,0,
01/02/21,Mariposa,,,,,,,,,,,,<11,0,<11,
01/09/21,Mariposa,,,,,,,,,,,,0,0,0,
01/16/21,Mariposa,,,,,,,,,,,,<11,0,0,
01/23/21,Mariposa,,,,,,,,,,,,<11,0,0,
01/30/21,Mariposa,,,,,,,,,,,,<11,0,0,
02/06/21,Mariposa,,,,,,,,,,,,<11,0,0,
02/13/21,Mariposa,,,,,,,,,,,,0,0,0,
02/20/21,Mariposa,,,,,,,,,,,,0,0,0,
02/27/21,Mariposa,,,,,,,,,,,,<11,0,0,
03/06/21,Mariposa,,,,,,,,,,,,0,0,0,
03/13/21,Mariposa,,,,,,,,,,,,0,0,0,
03/20/21,Mariposa,,,,,,,,,,,,0,0,0,
03/27/21,Mariposa,,,,,,,,,,,,0,0,0,
04/03/21,Mariposa,,,,,,,,,,,,0,0,0,
04/10/21,Mariposa,,,,,,,,,,,,0,0,0,
04/17/21,Mariposa,,,,,,,,,,,,<11,0,0,
04/24/21,Mariposa,,,,,,,,,,,,No Data Reported,,,
05/01/21,Mariposa,,,,,,,,,,,,0,0,0,
05/08/21,Mariposa,,,,,,,,,,,,0,0,0,
05/15/21,Mariposa,,,,,,,,,,,,<11,<11,<11,
05/22/21,Mariposa,,,,,,,,,,,,<11,0,<11,
05/29/21,Mariposa,,,,,,,,,,,,<11,0,0,
06/05/21,Mariposa,,,,,,,,,,,,0,0,0,
06/12/21,Mariposa,,,,,,,,,,,,0,0,0,
06/19/21,Mariposa,,,,,,,,,,,,0,0,0,
06/26/21,Mariposa,,,,,,,,,,,,0,0,0,
07/03/21,Mariposa,,,,,,,,,,,,0,0,0,
07/10/21,Mariposa,,,,,,,,,,,,0,0,0,
07/17/21,Mariposa,,,,,,,,,,,,0,0,0,
07/24/21,Mariposa,,,,,,,,,,,,0,0,0,
07/31/21,Mariposa,,,,,,,,,,,,0,0,0,
08/07/21,Mariposa,,,,,,,,,,,,0,0,0,
08/14/21,Mariposa,,,,,,,,,,,,0,0,0,
08/21/21,Mariposa,,,,,,,,,,,,0,0,0,
08/28/21,Mariposa,,,,,,,,,,,,<11,0,0,
09/04/21,Mariposa,,,,,,,,,,,,<11,0,0,
09/11/21,Mariposa,,,,,,,,,,,,<11,0,0,
09/18/21,Mariposa,,,,,,,,,,,,14,<11,0,
09/25/21,Mariposa,,,,,,,,,,,,<11,0,0,
10/02/21,Mariposa,,,,,,,,,,,,<11,0,0,
10/09/21,Mariposa,,,,,,,,,,,,15,0,0,
10/16/21,Mariposa,,,,,,,,,,,,30,0,0,
10/23/21,Mariposa,,,,,,,,,,,,25,0,0,
10/30/21,Mariposa,,,,,,,,,,,,25,0,0,
11/06/21,Mariposa,,,,,,,,,,,,25,0,0,
11/13/21,Mariposa,,,,,,,,,,,,25,0,0,
11/20/21,Mariposa,,,,,,,,,,,,25,0,0,
11/27/21,Mariposa,,,,,,,,,,,,25,0,0,
12/04/21,Mariposa,,,,,,,,,,,,25,0,0,
12/11/21,Mariposa,,,,,,,,,,,,12,0,0,
12/18/21,Mariposa,,,,,,,,,,,,12,0,0,
12/25/21,Mariposa,,,,,,,,,,,,12,0,0,
01/01/22,Mariposa,,,,,,,,,,,,12,0,0,
01/08/22,Mariposa,,,,,,,,,,,,12,0,0,
01/15/22,Mariposa,,,,,,,,,,,,20,<11,<11,
01/22/22,Mariposa,,,,,,,,,,,,12,0,0,
01/29/22,Mariposa,,,,,,,,,,,,16,<11,0,
02/05/22,Mariposa,,,,,,,,,,,,16,0,<11,
02/12/22,Mariposa,,,,,,,,,,,,16,<11,<11,
02/19/22,Mariposa,,,,,,,,,,,,16,0,0,
02/26/22,Mariposa,,,,,,,,,,,,18,0,0,
03/05/22,Mariposa,,,,,,,,,,,,18,0,0,
03/12/22,Mariposa,,,,,,,,,,,,18,<11,<11,
03/19/22,Mariposa,,,,,,,,,,,,15,0,0,
03/26/22,Mariposa,,,,,,,,,,,,16,0,0,
07/25/20,Mendocino,Mendocino Adult Detention Facility,219,0,0,0,0,0,0,0,0,,,,,
08/01/20,Mendocino,Mendocino Adult Detention Facility,231,<11,0,0,0,0,0,0,0,,,,,
08/08/20,Mendocino,Mendocino Adult Detention Facility,246,<11,0,0,0,0,0,0,0,,,,,
08/15/20,Mendocino,Mendocino Adult Detention Facility,235,<11,<11,<11,0,0,0,0,0,,,,,
08/22/20,Mendocino,Mendocino Adult Detention Facility,261,<11,0,0,0,0,0,0,0,,,,,
08/29/20,Mendocino,Mendocino Adult Detention Facility,257,<11,0,0,0,0,0,0,0,,,,,
09/05/20,Mendocino,Mendocino Adult Detention Facility,271,<11,<11,<11,0,<11,0,<11,0,,,,,
09/12/20,Mendocino,Mendocino Adult Detention Facility,270,<11,0,0,0,0,0,<11,0,,,,,
09/19/20,Mendocino,Mendocino Adult Detention Facility,271,<11,0,0,0,0,0,0,0,,,,,
09/26/20,Mendocino,Mendocino Adult Detention Facility,272,<11,0,0,0,0,0,0,0,,,,,
10/03/20,Mendocino,Mendocino Adult Detention Facility,272,<11,0,0,0,0,0,0,0,,,,,
10/10/20,Mendocino,Mendocino Adult Detention Facility,282,<11,0,0,0,0,0,0,0,,,,,
10/17/20,Mendocino,Mendocino Adult Detention Facility,282,<11,0,0,0,0,0,0,0,,,,,
10/24/20,Mendocino,Mendocino Adult Detention Facility,294,<11,0,0,0,0,0,0,0,,,,,
10/31/20,Mendocino,Mendocino Adult Detention Facility,294,39,0,0,0,0,0,0,0,,,,,
11/07/20,Mendocino,Mendocino Adult Detention Facility,264,<11,0,0,0,0,0,0,0,,,,,
11/14/20,Mendocino,Mendocino Adult Detention Facility,265,<11,0,0,0,0,0,0,0,,,,,
11/21/20,Mendocino,Mendocino Adult Detention Facility,270,<11,0,0,0,0,0,0,0,,,,,
11/28/20,Mendocino,Mendocino Adult Detention Facility,272,<11,0,0,0,0,0,0,0,,,,,
01/02/21,Mendocino,Mendocino Adult Detention Facility,260,93,60,0,,77,<11,<11,0,,,,,
01/09/21,Mendocino,Mendocino Adult Detention Facility,225,120,30,<11,,<11,<11,60,0,,,,,
01/16/21,Mendocino,Mendocino Adult Detention Facility,217,100,<11,36,<11,<11,<11,36,0,,,,,
01/23/21,Mendocino,Mendocino Adult Detention Facility,220,34,0,0,0,0,0,35,0,,,,,
01/30/21,Mendocino,Mendocino Adult Detention Facility,219,200,<11,0,<11,,0,<11,0,,,,,
02/06/21,Mendocino,Mendocino Adult Detention Facility,222,285,<11,0,<11,,0,<11,<11,,,,,
02/13/21,Mendocino,Mendocino Adult Detention Facility,227,160,<11,0,<11,<11,0,0,0,,,,,
02/20/21,Mendocino,Mendocino Adult Detention Facility,230,160,<11,0,<11,,0,<11,0,,,,,
02/27/21,Mendocino,Mendocino Adult Detention Facility,230,145,0,0,0,0,0,<11,0,,,,,
03/06/21,Mendocino,Mendocino Adult Detention Facility,234,160,0,0,0,0,0,0,0,,,,,
03/13/21,Mendocino,Mendocino Adult Detention Facility,240,120,0,0,0,0,0,0,0,,,,,
03/20/21,Mendocino,Mendocino Adult Detention Facility,255,126,0,0,0,0,0,0,0,,,,,
03/27/21,Mendocino,Mendocino Adult Detention Facility,262,124,0,0,0,0,0,0,0,,,,,
04/03/21,Mendocino,Mendocino Adult Detention Facility,254,120,<11,0,<11,<11,0,0,0,,,,,
04/10/21,Mendocino,Mendocino Adult Detention Facility,243,120,0,0,0,0,0,<11,0,,,,,
04/17/21,Mendocino,Mendocino Adult Detention Facility,257,160,<11,0,<11,<11,0,<11,0,,,,,
04/24/21,Mendocino,Mendocino Adult Detention Facility,276,160,0,0,0,0,0,<11,0,,,,,
05/01/21,Mendocino,Mendocino Adult Detention Facility,252,160,<11,0,<11,0,0,0,0,,,,,
05/08/21,Mendocino,Mendocino Adult Detention Facility,254,160,0,0,0,0,0,0,0,,,,,
05/15/21,Mendocino,Mendocino Adult Detention Facility,251,160,<11,0,<11,<11,0,0,0,,,,,
05/22/21,Mendocino,Mendocino Adult Detention Facility,250,160,<11,<11,<11,<11,0,0,0,,,,,
05/29/21,Mendocino,Mendocino Adult Detention Facility,276,160,<11,<11,0,0,0,0,0,,,,,
06/05/21,Mendocino,Mendocino Adult Detention Facility,270,120,0,0,0,0,0,0,0,,,,,
06/12/21,Mendocino,Mendocino Adult Detention Facility,259,125,<11,0,<11,<11,0,<11,0,,,,,
06/19/21,Mendocino,Mendocino Adult Detention Facility,266,160,0,0,0,0,0,0,0,,,,,
06/26/21,Mendocino,Mendocino Adult Detention Facility,266,160,0,0,0,0,0,0,0,,,,,
07/03/21,Mendocino,Mendocino Adult Detention Facility,260,160,0,0,0,0,0,0,0,,,,,
07/10/21,Mendocino,Mendocino Adult Detention Facility,266,165,0,0,0,0,0,0,0,,,,,
07/17/21,Mendocino,Mendocino Adult Detention Facility,272,120,0,0,0,0,0,0,0,,,,,
07/24/21,Mendocino,Mendocino Adult Detention Facility,262,120,0,0,0,0,0,0,0,,,,,
07/31/21,Mendocino,Mendocino Adult Detention Facility,272,120,0,<11,0,0,0,0,0,,,,,
08/07/21,Mendocino,Mendocino Adult Detention Facility,287,120,<11,<11,0,<11,0,0,0,,,,,
08/14/21,Mendocino,Mendocino Adult Detention Facility,272,120,<11,<11,0,0,0,<11,0,,,,,
08/21/21,Mendocino,Mendocino Adult Detention Facility,272,300,11,<11,<11,,0,0,0,,,,,
08/28/21,Mendocino,Mendocino Adult Detention Facility,278,320,12,<11,<11,<11,0,<11,0,,,,,
09/04/21,Mendocino,Mendocino Adult Detention Facility,285,320,<11,<11,<11,,0,<11,0,,,,,
09/11/21,Mendocino,Mendocino Adult Detention Facility,299,250,<11,<11,<11,0,0,0,0,,,,,
09/18/21,Mendocino,Mendocino Adult Detention Facility,282,300,<11,<11,<11,<11,0,0,0,,,,,
10/16/21,Mendocino,Mendocino Adult Detention Facility,291,160,0,0,0,0,0,0,0,,,,,
10/23/21,Mendocino,Mendocino Adult Detention Facility,278,160,0,0,0,0,0,0,0,,,,,
10/30/21,Mendocino,Mendocino Adult Detention Facility,278,160,0,0,0,0,0,0,0,,,,,
11/13/21,Mendocino,Mendocino Adult Detention Facility,295,160,0,0,0,0,0,0,0,,,,,
11/27/21,Mendocino,Mendocino Adult Detention Facility,282,160,0,0,0,0,0,0,0,,,,,
12/04/21,Mendocino,Mendocino Adult Detention Facility,282,200,0,0,0,0,0,0,0,,,,,
12/11/21,Mendocino,Mendocino Adult Detention Facility,286,160,0,0,0,0,0,0,0,,,,,
12/18/21,Mendocino,Mendocino Adult Detention Facility,288,160,0,0,0,0,0,0,0,,,,,
01/01/22,Mendocino,Mendocino Adult Detention Facility,286,160,0,0,0,0,0,0,0,,,,,
01/08/22,Mendocino,Mendocino Adult Detention Facility,301,400,<11,<11,<11,<11,0,0,0,,,,,
01/15/22,Mendocino,Mendocino Adult Detention Facility,281,350,<11,<11,<11,<11,0,<11,0,,,,,
01/22/22,Mendocino,Mendocino Adult Detention Facility,385,360,45,0,40,45,0,<11,0,,,,,
01/29/22,Mendocino,Mendocino Adult Detention Facility,278,300,137,<11,130,,0,<11,0,,,,,
02/05/22,Mendocino,Mendocino Adult Detention Facility,288,180,20,<11,<11,,0,65,0,,,,,
02/12/22,Mendocino,Mendocino Adult Detention Facility,306,230,16,<11,<11,,0,56,0,,,,,
02/19/22,Mendocino,Mendocino Adult Detention Facility,306,200,<11,<11,<11,,0,36,0,,,,,
02/26/22,Mendocino,Mendocino Adult Detention Facility,323,200,<11,<11,,,0,<11,0,,,,,
03/05/22,Mendocino,Mendocino Adult Detention Facility,303,120,<11,0,<11,,0,<11,0,,,,,
03/12/22,Mendocino,Mendocino Adult Detention Facility,302,120,0,0,0,0,0,<11,0,,,,,
03/19/22,Mendocino,Mendocino Adult Detention Facility,304,200,0,0,0,0,0,<11,0,,,,,
03/26/22,Mendocino,Mendocino Adult Detention Facility,298,260,0,0,0,0,0,0,0,,,,,
12/05/20,Mendocino,No Data Reported,,,,,,,,,,,,,,
12/12/20,Mendocino,No Data Reported,,,,,,,,,,,,,,
12/19/20,Mendocino,No Data Reported,,,,,,,,,,,,,,
12/26/20,Mendocino,No Data Reported,,,,,,,,,,,,,,
09/25/21,Mendocino,No Data Reported,,,,,,,,,,,,,,
10/02/21,Mendocino,No Data Reported,,,,,,,,,,,,,,
10/09/21,Mendocino,No Data Reported,,,,,,,,,,,,,,
11/06/21,Mendocino,No Data Reported,,,,,,,,,,,,,,
11/20/21,Mendocino,No Data Reported,,,,,,,,,,,,,,
12/25/21,Mendocino,No Data Reported,,,,,,,,,,,,,,
07/25/20,Mendocino,,,,,,,,,,,,0,0,0,
08/01/20,Mendocino,,,,,,,,,,,,0,0,0,
08/08/20,Mendocino,,,,,,,,,,,,0,0,0,
08/15/20,Mendocino,,,,,,,,,,,,0,0,0,
08/22/20,Mendocino,,,,,,,,,,,,0,0,0,
08/29/20,Mendocino,,,,,,,,,,,,0,0,0,
09/05/20,Mendocino,,,,,,,,,,,,0,0,0,
09/12/20,Mendocino,,,,,,,,,,,,0,0,0,
09/19/20,Mendocino,,,,,,,,,,,,0,0,0,
09/26/20,Mendocino,,,,,,,,,,,,0,0,0,
10/03/20,Mendocino,,,,,,,,,,,,0,0,0,
10/10/20,Mendocino,,,,,,,,,,,,0,0,0,
10/17/20,Mendocino,,,,,,,,,,,,0,0,0,
10/24/20,Mendocino,,,,,,,,,,,,0,0,0,
10/31/20,Mendocino,,,,,,,,,,,,0,0,0,
11/07/20,Mendocino,,,,,,,,,,,,0,0,0,
11/14/20,Mendocino,,,,,,,,,,,,0,0,0,
11/21/20,Mendocino,,,,,,,,,,,,<11,<11,<11,
11/28/20,Mendocino,,,,,,,,,,,,0,0,0,
12/05/20,Mendocino,,,,,,,,,,,,No Data Reported,,,
12/12/20,Mendocino,,,,,,,,,,,,No Data Reported,,,
12/19/20,Mendocino,,,,,,,,,,,,No Data Reported,,,
12/26/20,Mendocino,,,,,,,,,,,,No Data Reported,,,
01/02/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
01/09/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
01/16/21,Mendocino,,,,,,,,,,,,59,<11,<11,
01/23/21,Mendocino,,,,,,,,,,,,60,0,<11,
01/30/21,Mendocino,,,,,,,,,,,,60,0,0,
02/06/21,Mendocino,,,,,,,,,,,,60,0,0,
02/13/21,Mendocino,,,,,,,,,,,,60,0,0,
02/20/21,Mendocino,,,,,,,,,,,,60,<11,0,
02/27/21,Mendocino,,,,,,,,,,,,60,0,0,
03/06/21,Mendocino,,,,,,,,,,,,55,0,0,
03/13/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
03/20/21,Mendocino,,,,,,,,,,,,60,0,0,
03/27/21,Mendocino,,,,,,,,,,,,60,0,0,
04/03/21,Mendocino,,,,,,,,,,,,60,0,0,
04/10/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
04/17/21,Mendocino,,,,,,,,,,,,60,0,0,
04/24/21,Mendocino,,,,,,,,,,,,60,0,0,
05/01/21,Mendocino,,,,,,,,,,,,60,0,0,
05/08/21,Mendocino,,,,,,,,,,,,60,0,0,
05/15/21,Mendocino,,,,,,,,,,,,60,0,0,
05/22/21,Mendocino,,,,,,,,,,,,60,0,0,
05/29/21,Mendocino,,,,,,,,,,,,60,0,0,
06/05/21,Mendocino,,,,,,,,,,,,60,0,0,
06/12/21,Mendocino,,,,,,,,,,,,60,0,0,
06/19/21,Mendocino,,,,,,,,,,,,60,0,0,
06/26/21,Mendocino,,,,,,,,,,,,60,0,0,
07/03/21,Mendocino,,,,,,,,,,,,60,0,0,
07/10/21,Mendocino,,,,,,,,,,,,60,0,0,
07/17/21,Mendocino,,,,,,,,,,,,60,<11,0,
07/24/21,Mendocino,,,,,,,,,,,,45,<11,<11,
07/31/21,Mendocino,,,,,,,,,,,,60,<11,<11,
08/07/21,Mendocino,,,,,,,,,,,,50,<11,<11,
08/14/21,Mendocino,,,,,,,,,,,,30,0,<11,
08/21/21,Mendocino,,,,,,,,,,,,60,<11,0,
08/28/21,Mendocino,,,,,,,,,,,,60,<11,0,
09/04/21,Mendocino,,,,,,,,,,,,60,0,<11,
09/11/21,Mendocino,,,,,,,,,,,,60,0,<11,
09/18/21,Mendocino,,,,,,,,,,,,60,0,0,
09/25/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
10/02/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
10/09/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
10/16/21,Mendocino,,,,,,,,,,,,50,0,0,
10/23/21,Mendocino,,,,,,,,,,,,60,0,0,
10/30/21,Mendocino,,,,,,,,,,,,60,0,0,
11/06/21,Mendocino,,,,,,,,,,,,60,0,0,
11/13/21,Mendocino,,,,,,,,,,,,60,0,0,
11/20/21,Mendocino,,,,,,,,,,,,No Data Reported,,,
11/27/21,Mendocino,,,,,,,,,,,,60,<11,<11,
12/04/21,Mendocino,,,,,,,,,,,,60,0,0,
12/11/21,Mendocino,,,,,,,,,,,,60,0,0,
12/18/21,Mendocino,,,,,,,,,,,,60,<11,0,
12/25/21,Mendocino,,,,,,,,,,,,60,0,<11,
01/01/22,Mendocino,,,,,,,,,,,,60,<11,<11,
01/08/22,Mendocino,,,,,,,,,,,,60,<11,<11,
01/15/22,Mendocino,,,,,,,,,,,,85,<11,<11,
01/22/22,Mendocino,,,,,,,,,,,,60,<11,<11,
01/29/22,Mendocino,,,,,,,,,,,,60,<11,<11,
02/05/22,Mendocino,,,,,,,,,,,,60,<11,<11,
02/12/22,Mendocino,,,,,,,,,,,,40,0,<11,
02/19/22,Mendocino,,,,,,,,,,,,50,0,0,
02/26/22,Mendocino,,,,,,,,,,,,50,0,0,
03/05/22,Mendocino,,,,,,,,,,,,30,0,0,
03/12/22,Mendocino,,,,,,,,,,,,60,0,0,
03/19/22,Mendocino,,,,,,,,,,,,60,0,0,
03/26/22,Mendocino,,,,,,,,,,,,45,0,0,
08/22/20,Merced,John Latorraca Correctional Center,339,<11,<11,0,0,<11,0,0,0,,,,,
11/28/20,Merced,John Latorraca Correctional Center,560,85,<11,<11,0,0,0,0,0,,,,,
07/25/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
08/01/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
08/08/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
08/15/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
08/29/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
09/05/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
09/12/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
09/19/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
09/26/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
12/05/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
12/12/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
12/19/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
12/26/20,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
01/02/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
01/09/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
01/16/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
01/23/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
01/30/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
02/06/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
02/13/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
02/20/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
02/27/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
03/06/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
03/13/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
03/20/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
04/03/21,Merced,John Latorraca Correctional Center - No Data Reported,,,,,,,,,,,,,,
